"country","code","day","stringency_index","restrictions_internal_movements","international_travel_controls","restriction_gatherings","school_closures","stay_home_requirements","workplace_closures"
"Afghanistan","AFG","2020-02-01","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-02","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-03","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-04","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-05","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-06","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-07","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-08","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-09","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-10","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-11","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-12","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-13","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-14","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-15","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-16","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-17","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-18","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-19","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-20","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-21","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-22","0",0,0,0,0,0,0
"Afghanistan","AFG","2020-02-23","8.33",0,3,0,0,0,0
"Afghanistan","AFG","2020-02-24","8.33",0,3,0,0,0,0
"Afghanistan","AFG","2020-02-25","8.33",0,3,0,0,0,0
"Afghanistan","AFG","2020-02-26","8.33",0,3,0,0,0,0
"Afghanistan","AFG","2020-02-27","8.33",0,3,0,0,0,0
"Afghanistan","AFG","2020-02-28","8.33",0,3,0,0,0,0
"Afghanistan","AFG","2020-02-29","8.33",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-01","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-02","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-03","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-04","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-05","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-06","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-07","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-08","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-09","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-10","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-11","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-12","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-13","27.78",0,3,0,0,0,0
"Afghanistan","AFG","2020-03-14","38.89",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-15","38.89",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-16","38.89",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-17","38.89",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-18","41.67",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-19","41.67",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-20","41.67",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-21","41.67",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-22","41.67",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-23","41.67",0,3,0,3,0,0
"Afghanistan","AFG","2020-03-24","50.93",0,3,0,3,0,3
"Afghanistan","AFG","2020-03-25","59.26",1,3,0,3,2,3
"Afghanistan","AFG","2020-03-26","59.26",1,3,0,3,2,3
"Afghanistan","AFG","2020-03-27","59.26",1,3,0,3,2,3
"Afghanistan","AFG","2020-03-28","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-03-29","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-03-30","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-03-31","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-04-01","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-04-02","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-04-03","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-04-04","67.59",1,3,0,3,2,3
"Afghanistan","AFG","2020-04-05","78.7",1,3,4,3,2,3
"Afghanistan","AFG","2020-04-06","78.7",1,3,4,3,2,3
"Afghanistan","AFG","2020-04-07","78.7",1,3,4,3,2,3
"Afghanistan","AFG","2020-04-08","78.7",1,3,4,3,2,3
"Afghanistan","AFG","2020-04-09","78.7",1,3,4,3,2,3
"Afghanistan","AFG","2020-04-10","78.7",1,3,4,3,2,3
"Afghanistan","AFG","2020-04-11","78.7",1,3,4,3,2,3
"Afghanistan","AFG","2020-04-12","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-13","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-14","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-15","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-16","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-17","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-18","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-19","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-20","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-21","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-22","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-23","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-24","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-25","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-26","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-27","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-28","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-29","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-04-30","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-01","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-02","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-03","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-04","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-05","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-06","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-07","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-08","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-09","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-10","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-11","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-12","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-13","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-14","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-15","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-16","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-17","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-18","84.26",2,3,4,3,2,3
"Afghanistan","AFG","2020-05-19","84.26",2,3,4,3,2,3
